,transcript
236,"MS. MITCHELL:  No premium at all put on compromise.  You've never had, not only in the House, but particularly in the Senate, a group that is less motivated.  Because they're worried about the wings--of primary challenges on their wings, they're less motivated to work in the middle. The kind of people that you now see talking about the debt commission,
Erskine Bowles and Al Simpson, used to work together and still try to work together.  But you don't, in--and particularly in the Senate, have any motivation to try to work on legislative solutions there. "
237,"MR. GREGORY:  I've got to do two things very quickly.  Congressman Pence, the issue of Charlie Rangel.  There does not appear to be a deal that's moving forward, and, and there are some reports that Republicans want to see an ethics trial go forward.  What is your view on whether he ought to step down from his seat at this point or pursue a trial?"
238,"REP. PENCE:  If the allegations against Charlie Rangel are true, he should step down from Congress.  But only Charlie Rangel knows if that's the case. We're in the trial phase right now.  The opportunity for a settlement when two Republicans and two Democrats on the subcommittee were examining these charges, it has gone by the boards.  And, and I
really do believe that we ought to let, let Charlie Rangel have his day in court and let the process work."
239,"MR. GREGORY:  Harold, there's a lot of pressure on him from the White House down.  What's the talk up in New York City?"
240,"REP. FORD:  In New York, he continues to enjoy support from big and important quarters.  He had a birthday party last night, which I understand Mayor Bloomberg said he was going to attend.  I don't know if he did attend or not."
241,MR. GREGORY:  A lot of other supporters did not go.
242,"REP. FORD:  And some, some others did not go.  I think Mike's about right on this.  If, if Charlie Rangel, whom I've known a very, very long time, wants to have a trial and defend himself, he has every right to do that. We should not ignore the fact this will--this certainly has a political
impact.  I think it contributes to the, the, the narrative that people, or that thinking people, have about Washington that it's just not working.  And I can only hope that what--if it happens that it happens quickly."
243,MR. GREGORY:  Andrea...
244,"REP. PENCE:  Actually, though, David, real quickly, on this point of Washington not working, the, the, the problems of this administration are not because of the media, they're not because of lobbyists, they're certainly not because of decisive Republican minorities on Capitol Hill. The problems of this administration is this administration and Democrats in Washington are not listening to the American people.  On the stimulus, on the national energy tax, on Obamacare, they have rolled over the will of the majority of the American people again and again and again."
245,"MR. GREGORY:  All right.  Well, that's, that's, that's a..."
246,"REP. PENCE:  And they're--and now they're blaming the messengers for
that."
247,"MR. GREGORY:  OK.  I want to move on, otherwise that's, obviously, that’s a debatable point to, to, to post around the table.  But I do--Andrea, I want to talk about Afghanistan.  Some horrific deaths of aid workers, their bodies coming back to America just earlier today, including from Afghanistan--excuse me--Tom Little, who was a doctor who was working over there.  These were aid workers who went out in a very dangerous part of the country in the north and were apparently killed by the Taliban.  This is a tough story to watch and just underscores how dangerous the country is."
248,"MS. MITCHELL:  It's horrific, and the fact that the Taliban in the north felt empowered to go after these workers.  Until now, the real threat was in the south, and perhaps the Taliban are being pushed north, the, the threat is going north.  The fact is, Richard Engel, our own chief foreign correspondent, reported last night on ""Nightly News"" that he talked to
Dr. Karen Woo, to one of those workers, one of those doctors, and she came to the NBC bureau and wanted to bring a camera with her.  So it's..."
